day,strike,rows,valid_iv,mean_S,mean_price,mean_bid,mean_ask,mean_half_spread,mean_iv,mean_surface_iv,mean_residual,std_residual,mean_z,under_z2_pct,over_z2_pct,under_z2_valid_pct,over_z2_valid_pct,mean_vega,mean_surface_edge_ticks,mean_long_ev_ticks,mean_short_ev_ticks,median_best_ev_ticks,positive_long_ev_pct,positive_short_ev_pct,best_mean_ev_ticks,suggested_direction,persistent_signal,public_trade_count,public_trade_qty
0,4000,10000,976,5246.51025,1246.5241,1236.1414,1256.9068,10.3827,0.6772581613665003,0.6922446694229201,-0.014492500995029512,0.0673047033672735,-1.140263906598729,0.0535,0.0266,0.548155737704918,0.2725409836065574,14.410525952867395,-0.3788059870599024,-10.379830577223839,-9.62221860310403,-9.965668256643207,0.0,0.0051,-9.62221860310403,AVOID,none,172,351
0,4500,10000,3012,5246.51025,746.5216,738.6295,754.4137,7.8921,0.3838969993690608,0.3656630848237345,0.01838767677438032,0.028172684807178577,1.4467347050188644,0.0,0.0447,0.0,0.14840637450199204,14.887892316322098,-0.4725522534836038,-8.359670447374707,-7.414565940407498,-7.875834800912962,0.0,0.0087,-7.414565940407498,AVOID,none,0,0
0,5000,10000,10000,5246.51025,253.2595,250.2586,256.2604,3.0009,0.21481903646006503,0.22493687932819795,-0.010117842868132929,0.00490613499394606,-0.7960676379547041,0.0062,0.0,0.0062,0.0,125.75151193105553,1.2430205686807303,-1.7578794313192698,-4.24392056868073,-1.7447288340618181,0.0102,0.0,-1.7578794313192698,AVOID,none,0,0
0,5100,10000,10000,5246.51025,168.1077,165.9478,170.2676,2.1599,0.21733580614694792,0.21444949186530457,0.0028863142816433775,0.0030866672563510137,0.2270939984470003,0.0,0.0,0.0,0.0,239.72867712987093,-0.6765180217505351,-2.836418021750535,-1.4833819782494648,-1.4542668131163259,0.0041,0.0311,-1.4833819782494648,AVOID,none,0,0
0,5200,10000,10000,5246.51025,97.4709,96.0079,98.9339,1.463,0.21328183151860622,0.20907050773084548,0.0042113237877607216,0.0033675367791340107,0.331345191270378,0.0,0.0,0.0,0.0,323.90228147167005,-1.346264878377864,-2.8092648783778635,-0.11673512162213617,-0.11801480732218217,0.0027,0.4641,-0.11673512162213617,AVOID,none,3,15
0,5300,10000,10000,5246.51025,48.8925,47.8122,49.9728,1.0803,0.21330221477710423,0.20851276048584869,0.004789454291255552,0.0023493475802887067,0.376832257075307,0.0,0.0,0.0,0.0,323.7977062162146,-1.5406894931269886,-2.620989493126989,0.4603894931269885,0.4527877896400506,0.0001,0.6988,0.4603894931269885,SHORT,none,37,128
0,5400,10000,10000,5246.51025,18.46725,17.7524,19.1821,0.71485,0.20390504587783237,0.212508616129657,-0.008603570251824618,0.004173943120732938,-0.6769253029140243,0.0,0.0,0.0,0.0,232.79562020087502,1.9698754049471912,1.255025404947191,-2.684725404947191,1.3965308826024003,0.8622,0.0001,1.255025404947191,LONG,none,64,218
0,5500,10000,10000,5246.51025,8.05895,7.4686,8.6493,0.59035,0.219070460546119,0.22080835232875978,-0.001737891782640781,0.0044742768790954545,-0.13673659736159094,0.0,0.0,0.0,0.0,141.62579515495858,0.23378812873362817,-0.35656187126637184,-0.8241381287336282,-0.01754944111011361,0.3354,0.1452,-0.35656187126637184,AVOID,none,81,281
0,6000,10000,10000,5246.51025,0.5,0.0,1.0,0.5,0.32613987100879993,0.319205962347853,0.006933908660946931,0.007035193497122176,0.5455570284550467,0.0,0.0,0.0,0.0,13.847851166356186,-0.09403959956980512,-0.5940395995698051,-0.4059604004301949,-0.40094743806726607,0.0,0.0,-0.4059604004301949,AVOID,none,91,320
0,6500,10000,10000,5246.51025,0.5,0.0,1.0,0.5,0.49335144057461894,0.4958370368409782,-0.0024855962663592438,0.011562250511458419,-0.19556567288683047,0.0,0.0,0.0,0.0,9.937262653508,0.02679088866917851,-0.47320911133082144,-0.5267908886691786,-0.4049469257622477,0.0,0.0,-0.47320911133082144,AVOID,none,91,320
1,4000,10000,1004,5248.3919,1248.40795,1238.0207,1258.7952,10.38725,0.7370093138204525,0.7567538277457159,-0.017209333400559912,0.07337510615942418,-1.0575671123205317,0.0535,0.0206,0.5328685258964143,0.2051792828685259,13.492805842538894,-0.35846594605584564,-10.32808746000007,-9.611155567888376,-9.870664543784933,0.0,0.0045,-9.611155567888376,AVOID,none,164,333
1,4500,10000,3037,5248.3919,748.40525,740.4988,756.3117,7.90645,0.41794108770494676,0.38827621940586454,0.029564726961664737,0.03166672518855158,1.8168445105709594,0.0,0.0864,0.0,0.28449127428383275,13.814378203950396,-0.6138668576382899,-8.4933531928375,-7.26561947756092,-7.783299371768718,0.0,0.009,-7.26561947756092,AVOID,none,1,1
1,5000,10000,9999,5248.3919,253.263,250.2589,256.2671,3.0041,0.21681421654868535,0.23036025307687968,-0.013545569822883734,0.006268237319291976,-0.8324174347076804,0.0103,0.0,0.010301030103010301,0.0,97.77767005968781,1.2516371241456714,-1.7526133008968328,-4.255887549188175,-1.751813927371946,0.0098,0.0002,-1.7526133008968328,AVOID,none,1,1
1,5100,10000,10000,5248.3919,164.9832,162.8547,167.1117,2.1285,0.21410224202986905,0.2187808091127412,-0.00467856708287216,0.003089160932821939,-0.2875125122202596,0.0,0.0,0.0,0.0,203.27640694322093,0.9206671127763891,-1.2078328872236108,-3.0491671127763893,-1.1819491693893072,0.0257,0.0003,-1.2078328872236108,AVOID,none,1,1
