strike,mean_price,mean_half_spread,mean_iv,mean_surface_iv,mean_residual,mean_z,under_z2_pct,over_z2_pct,under_z2_valid_pct,over_z2_valid_pct,mean_vega,mean_surface_edge_ticks,mean_long_ev_ticks,mean_short_ev_ticks,median_best_ev_ticks,positive_long_ev_pct,positive_short_ev_pct,suggested_direction,best_mean_ev_ticks,persistent_signal,public_trade_count,public_trade_qty
5400,15.951916666666667,0.6907166666666666,0.20698744216120335,0.2175493936491721,-0.010561951487968763,-0.6493410596355111,0.0,0.0,0.0,0.0,205.4903534659671,2.118412378476139,1.4276957118094724,-2.809129045142806,1.476813369794818,0.949,3.3333333333333335e-05,LONG,1.4276957118094724,none,225,787
5300,46.759933333333336,1.0534,0.22086968117920794,0.21270965015874116,0.008160031020466748,0.4897157929491641,0.0,0.0,0.0,0.0,297.1778553123087,-2.370070587346648,-3.423470587346648,1.3166705873466478,1.3252338562155246,3.3333333333333335e-05,0.8812666666666666,SHORT,1.3166705873466478,none,121,420
5200,95.54876666666667,1.4440666666666666,0.2184596068498241,0.21309830607938357,0.0053613007704405346,0.33355051900185034,0.0,0.0,0.0,0.0,293.6048673013098,-1.5613536087391118,-3.005420275405778,0.11728694207244515,0.10166114120166891,0.0011666666666666668,0.5478333333333333,SHORT,0.11728694207244515,none,18,63
5500,6.64135,0.5748833333333333,0.22457265622295797,0.22733072240873708,-0.0027580661857791095,-0.16363155199588578,0.0,0.0,0.0,0.0,119.32717854579137,0.2873979979365506,-0.2874853353967828,-0.8622813312698839,-0.15216693551794017,0.29023333333333334,0.0554,AVOID,-0.2874853353967828,none,267,937
6000,0.5,0.5,0.35595967963311026,0.34156434611646486,0.01439533351664536,0.832405481501244,0.0,0.018666666666666668,0.0,0.018666666666666668,12.747228988315351,-0.17432533127263908,-0.6743253312726392,-0.32567466872736095,-0.33995740497608823,0.0,0.0,AVOID,-0.32567466872736095,none,284,1002
6500,0.5,0.5,0.5394187160993328,0.5456135418895164,-0.006194825790183594,-0.3538949953385716,0.00046666666666666666,0.0,0.00046666666666666666,0.0,9.13574178396327,0.0578552317473581,-0.44214476825264193,-0.5578552317473582,-0.3804098264337315,0.0,0.0,AVOID,-0.44214476825264193,none,284,1002
5100,166.80545,2.1479166666666667,0.2159991478135822,0.21902275001067048,-0.003023602197088294,-0.13956305804699415,0.0,0.0,0.0,0.0,201.81580350050007,0.4771236710004725,-1.6707929956661942,-2.6250403376671394,-1.180951714942822,0.035,0.010466666666666668,AVOID,-1.6707929956661942,none,1,1
5000,255.0224,3.0216666666666665,0.2181407583639606,0.2308128068422398,-0.012664233599060224,-0.7780557224080942,0.010533333333333334,0.0,0.010541766746730718,0.0,97.55249843528301,1.1323110241088095,-1.890373790409472,-4.154995838627091,-1.8780786773667504,0.009133333333333334,0.00013333333333333334,AVOID,-1.890373790409472,none,1,1
4500,750.1095666666666,7.926333333333333,0.4212353114414276,0.39114327772703006,0.031214336557611036,1.845825608998633,0.0,0.0851,0.0,0.2893573614416865,13.779559290264784,-0.6221195085794532,-8.509686095908027,-7.26544707874912,-7.776355435204967,0.0,0.008666666666666666,AVOID,-7.26544707874912,none,1,1
4000,1250.1098,10.406733333333333,0.7455373209502659,0.764898911317279,-0.019131819986168107,-1.152027751631784,0.054,0.022333333333333334,0.5425318151373074,0.22438044206296048,13.2317694091294,-0.32458793212810333,-10.374320015182356,-9.72514415092615,-9.95545292026559,0.0,0.004366666666666666,AVOID,-9.72514415092615,none,464,940
