day,time_bin,product,volume
0,0,HYDROGEL_PACK,6
0,0,VELVETFRUIT_EXTRACT,21
0,0,VEV_4000,2
0,0,VEV_5400,3
0,0,VEV_5500,3
0,0,VEV_6000,3
0,0,VEV_6500,3
0,10000,HYDROGEL_PACK,14
0,10000,VELVETFRUIT_EXTRACT,24
0,10000,VEV_4000,7
0,10000,VEV_5400,5
0,10000,VEV_5500,5
0,10000,VEV_6000,5
0,10000,VEV_6500,5
0,20000,HYDROGEL_PACK,21
0,20000,VELVETFRUIT_EXTRACT,33
0,20000,VEV_4000,1
0,30000,VELVETFRUIT_EXTRACT,47
0,30000,VEV_5400,5
0,30000,VEV_5500,5
0,30000,VEV_6000,5
0,30000,VEV_6500,5
0,40000,HYDROGEL_PACK,2
0,40000,VELVETFRUIT_EXTRACT,11
0,40000,VEV_4000,1
0,40000,VEV_5400,2
0,40000,VEV_5500,2
0,40000,VEV_6000,2
0,40000,VEV_6500,2
0,50000,HYDROGEL_PACK,15
0,50000,VELVETFRUIT_EXTRACT,12
0,50000,VEV_4000,1
0,60000,HYDROGEL_PACK,14
0,60000,VELVETFRUIT_EXTRACT,21
0,60000,VEV_4000,2
0,60000,VEV_5300,5
0,60000,VEV_5400,5
0,60000,VEV_5500,5
0,60000,VEV_6000,10
0,60000,VEV_6500,10
0,70000,HYDROGEL_PACK,5
0,70000,VELVETFRUIT_EXTRACT,23
0,70000,VEV_4000,8
0,80000,VELVETFRUIT_EXTRACT,28
0,80000,VEV_4000,2
0,80000,VEV_5300,3
0,80000,VEV_5400,3
0,80000,VEV_5500,7
0,80000,VEV_6000,7
0,80000,VEV_6500,7
0,90000,HYDROGEL_PACK,21
0,90000,VELVETFRUIT_EXTRACT,5
0,90000,VEV_4000,4
0,100000,HYDROGEL_PACK,19
0,100000,VELVETFRUIT_EXTRACT,30
0,100000,VEV_4000,1
0,100000,VEV_5300,4
0,100000,VEV_5400,4
0,100000,VEV_5500,4
0,100000,VEV_6000,4
0,100000,VEV_6500,4
0,110000,HYDROGEL_PACK,5
0,110000,VELVETFRUIT_EXTRACT,18
0,110000,VEV_4000,1
0,110000,VEV_5300,3
0,110000,VEV_5400,3
0,110000,VEV_5500,3
0,110000,VEV_6000,3
0,110000,VEV_6500,3
0,120000,HYDROGEL_PACK,9
0,120000,VELVETFRUIT_EXTRACT,18
0,120000,VEV_4000,4
0,120000,VEV_5300,4
0,120000,VEV_5500,4
0,120000,VEV_6000,4
0,120000,VEV_6500,4
0,130000,HYDROGEL_PACK,15
0,130000,VELVETFRUIT_EXTRACT,3
0,130000,VEV_4000,5
0,140000,HYDROGEL_PACK,9
0,140000,VELVETFRUIT_EXTRACT,41
0,140000,VEV_4000,6
0,150000,HYDROGEL_PACK,16
0,150000,VELVETFRUIT_EXTRACT,16
0,150000,VEV_4000,4
0,150000,VEV_5300,2
0,150000,VEV_5500,2
0,150000,VEV_6000,2
0,150000,VEV_6500,2
0,160000,HYDROGEL_PACK,9
0,160000,VELVETFRUIT_EXTRACT,6
0,160000,VEV_4000,3
0,160000,VEV_5400,5
0,160000,VEV_5500,4
0,160000,VEV_6000,9
0,160000,VEV_6500,9
0,170000,HYDROGEL_PACK,13
0,170000,VELVETFRUIT_EXTRACT,27
0,170000,VEV_5400,5
0,170000,VEV_5500,5
0,170000,VEV_6000,7
0,170000,VEV_6500,7
0,180000,HYDROGEL_PACK,18
0,180000,VEV_5300,9
0,180000,VEV_5400,6
0,180000,VEV_5500,9
0,180000,VEV_6000,9
0,180000,VEV_6500,9
0,190000,HYDROGEL_PACK,15
0,190000,VELVETFRUIT_EXTRACT,26
0,190000,VEV_4000,2
0,190000,VEV_5300,11
0,190000,VEV_5400,11
0,190000,VEV_5500,11
0,190000,VEV_6000,11
0,190000,VEV_6500,11
0,200000,HYDROGEL_PACK,31
0,200000,VELVETFRUIT_EXTRACT,32
0,210000,HYDROGEL_PACK,4
0,210000,VELVETFRUIT_EXTRACT,43
0,210000,VEV_4000,8
0,210000,VEV_5400,2
0,210000,VEV_5500,2
0,210000,VEV_6000,2
0,210000,VEV_6500,2
0,220000,HYDROGEL_PACK,9
0,220000,VELVETFRUIT_EXTRACT,31
0,220000,VEV_4000,4
0,220000,VEV_5200,5
0,220000,VEV_5400,5
0,220000,VEV_5500,5
0,220000,VEV_6000,5
0,220000,VEV_6500,5
0,230000,HYDROGEL_PACK,6
0,230000,VELVETFRUIT_EXTRACT,30
0,230000,VEV_4000,5
0,230000,VEV_5300,3
