strike,day,timestamp,delta_rolling,abs_delta_change_10ts,S,C,distance_S_minus_K
4000,1,510100,0.676605504587156,0.18926275888589794,5262.5,1262.5,1262.5
4000,1,510200,0.6732329084588644,0.17563072790477197,5262.5,1262.5,1262.5
4000,1,510500,0.6736111111111112,0.17473552514886603,5263.5,1263.5,1263.5
4000,1,510300,0.674364896073903,0.17398174018607415,5263.5,1263.5,1263.5
4000,1,510400,0.6739884393063584,0.1738376476501633,5263.5,1263.5,1263.5
4500,1,510100,0.5286697247706422,0.15396500576827998,5262.5,762.5,762.5
4500,0,613400,0.7462482946793997,0.14810505860512913,5232.5,732.5,732.5
4500,1,510500,0.5254629629629629,0.14044353646691166,5263.5,764.0,763.5
4500,2,476300,0.538928210313448,0.1394285031134057,5242.5,742.0,742.5
4500,1,510400,0.5260115606936416,0.13874816470681606,5263.5,763.5,763.5
5000,1,355600,0.7680355160932297,0.10038845726970036,5241.5,247.0,241.5
5000,1,355700,0.7699115044247787,0.1002597631312464,5240.5,245.5,240.5
5000,2,908100,0.8348214285714286,0.09684301836534426,5279.5,281.5,279.5
5000,2,908000,0.834051724137931,0.09309375737351266,5280.5,282.5,280.5
5000,1,355800,0.7687224669603524,0.09251318759213922,5239.5,245.0,239.5
5100,2,908100,0.7924107142857143,0.07798480653301554,5279.5,187.5,179.5
5100,1,917400,0.6722408026755853,0.07669349284256122,5263.0,175.5,163.0
5100,1,355600,0.6259711431742508,0.0759711431742508,5241.5,160.0,141.5
5100,1,355700,0.6261061946902655,0.07585743847136006,5240.5,159.0,140.5
5100,2,908000,0.7931034482758621,0.07560589206862844,5280.5,188.5,180.5
5200,0,613400,0.4747612551159618,0.06494693150853476,5232.5,89.5,32.5
5200,1,917800,0.5055928411633109,0.0638407442388002,5262.5,101.5,62.5
5200,1,725400,0.5029585798816568,0.06324570763410609,5264.0,103.5,64.0
5200,1,917500,0.5055928411633109,0.06310675582008274,5263.5,102.5,63.5
5200,1,366300,0.4316702819956616,0.06290149122508631,5252.5,99.5,52.5
5300,0,571200,0.29354838709677417,0.04730778559301477,5245.5,48.0,-54.5
5300,2,521800,0.23647294589178355,0.04422880849418134,5244.5,40.0,-55.5
5300,0,613400,0.286493860845839,0.043788290554061804,5232.5,43.0,-67.5
5300,1,355700,0.31305309734513276,0.04340135605160039,5240.5,44.0,-59.5
5300,0,571100,0.289247311827957,0.04277506347424109,5246.5,49.0,-53.5
5400,2,908100,0.17745535714285715,0.031233571078087774,5279.5,16.5,-120.5
5400,2,385000,0.14285714285714285,0.029984008528784634,5248.0,12.5,-152.0
5400,2,998000,0.15030060120240482,0.02961987593477211,5299.5,21.5,-100.5
5400,2,998200,0.14906219151036526,0.028870214056235133,5299.0,21.0,-101.0
5400,2,908200,0.17745535714285715,0.028156759948468363,5279.5,16.5,-120.5
5500,1,502900,0.02014218009478673,0.030327303473288388,5252.5,6.5,-247.5
5500,1,548500,0.04449152542372881,0.02908998526971341,5232.5,5.0,-267.5
5500,1,548400,0.04430379746835443,0.028919182083739045,5232.5,4.5,-267.5
5500,0,727000,0.07278481012658228,0.028141952983725134,5271.0,10.5,-229.0
5500,1,503000,0.02014218009478673,0.0279798856329128,5252.5,6.5,-247.5
6000,0,16000,0.0,0.0,5242.5,0.5,-757.5
6000,2,17000,0.0,0.0,5273.5,0.5,-726.5
6000,2,16800,0.0,0.0,5273.0,0.5,-727.0
6000,2,16700,-0.0,0.0,5273.0,0.5,-727.0
6000,2,16600,0.0,0.0,5273.5,0.5,-726.5
6500,0,16000,0.0,0.0,5242.5,0.5,-1257.5
6500,2,17000,0.0,0.0,5273.5,0.5,-1226.5
6500,2,16800,0.0,0.0,5273.0,0.5,-1227.0
6500,2,16700,-0.0,0.0,5273.0,0.5,-1227.0
6500,2,16600,0.0,0.0,5273.5,0.5,-1226.5
