product,VEV_4000,VEV_4500,VEV_5000,VEV_5100,VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500
VEV_4000,1.0,0.913050992124067,0.8186313834880934,0.7849452986680476,0.7136172616051167,0.5891064652277234,0.4787956201588066,0.298165833133193,,
VEV_4500,0.913050992124067,1.0,0.8643926296446316,0.8391464180538427,0.7675940306653892,0.6440942159506213,0.5294519267632191,0.3329082890368806,,
VEV_5000,0.8186313834880934,0.8643926296446316,1.0,0.9011238839142782,0.8344602605194221,0.7160737975832788,0.6066160181726143,0.38641023280247033,,
VEV_5100,0.7849452986680476,0.8391464180538427,0.9011238839142782,1.0,0.833795067903182,0.7150180847138794,0.6075069524166589,0.3862587111968857,,
VEV_5200,0.7136172616051167,0.7675940306653892,0.8344602605194221,0.833795067903182,1.0,0.6684456538274531,0.5728268496295787,0.36929696534688783,,
VEV_5300,0.5891064652277234,0.6440942159506213,0.7160737975832788,0.7150180847138794,0.6684456538274531,1.0,0.49009524984360076,0.32580676039092804,,
VEV_5400,0.4787956201588066,0.5294519267632191,0.6066160181726143,0.6075069524166589,0.5728268496295787,0.49009524984360076,1.0,0.29504595596710653,,
VEV_5500,0.298165833133193,0.3329082890368806,0.38641023280247033,0.3862587111968857,0.36929696534688783,0.32580676039092804,0.29504595596710653,1.0,,
VEV_6000,,,,,,,,,,
VEV_6500,,,,,,,,,,
