strike,product,lag_optimal,corr_at_lag,corr_at_0,corr_abs_uplift_vs_0,interpretation
4000,VEV_4000,0.0,0.594873808113947,0.594873808113947,0.0,mostly_synchronous
4500,VEV_4500,0.0,0.5979063819424834,0.5979063819424834,0.0,mostly_synchronous
5000,VEV_5000,0.0,0.7536427220938058,0.7536427220938058,0.0,mostly_synchronous
5100,VEV_5100,0.0,0.7653302054445351,0.7653302054445351,0.0,mostly_synchronous
5200,VEV_5200,0.0,0.71741508850045,0.71741508850045,0.0,mostly_synchronous
5300,VEV_5300,0.0,0.6216399087228969,0.6216399087228969,0.0,mostly_synchronous
5400,VEV_5400,0.0,0.5400562735002319,0.5400562735002319,0.0,mostly_synchronous
5500,VEV_5500,0.0,0.34822162716233346,0.34822162716233346,0.0,mostly_synchronous
6000,VEV_6000,,,,,mostly_synchronous
6500,VEV_6500,,,,,mostly_synchronous
