type,product_a,product_b,product_c,K1,K2,K3,direction,EV_par_trade,opportunities_per_day,capital_required_ticks,risk_max_ticks,frequency_count,tradable_arb_count,max_tradable_edge,score,notes,day_pair,realized_decay,bs_theta_decay,edge_after_spread,beta,intercept,adf_tstat,pvalue_approx
cointegration_pair,VEV_5000,VEV_5400,,5000,5400,,short residual VEV_5000 - beta*VEV_5400 when high,8.614283413612526,0.3333333333333333,298.36143236753935,8.614283413612526,1,0,,8.662079412630412,"mean_abs_resid=8.840, std_resid=11.030, sharpe_proxy=6.904",,,,,2.6885716586387503,212.1345289490327,-4.109699926341437,0.0022040009821141706
cointegration_pair,VEV_4500,VEV_5400,,4500,5400,,short residual VEV_4500 - beta*VEV_5400 when high,3.4971100814657703,0.6666666666666666,791.7432339613044,-1.1389908350311302,2,0,,4.391142495102168,"mean_abs_resid=10.332, std_resid=12.816, sharpe_proxy=2.819",,,,,2.613899083503111,708.4128663115491,-4.525206208670132,0.001
cointegration_pair,VEV_5000,VEV_5500,,5000,5500,,long residual VEV_5000 - beta*VEV_5500 when low,2.9956620759320174,0.6666666666666666,286.17196857386085,2.1618467510355686,2,0,,4.2855059360698,"mean_abs_resid=9.663, std_resid=11.865, sharpe_proxy=2.440",,,,,4.6676306497928834,224.02303118399786,-5.182763197984472,0.001
cointegration_pair,VEV_5100,VEV_5400,,5100,5400,,short residual VEV_5100 - beta*VEV_5400 when high,3.6239804140580887,0.3333333333333333,213.20314484245552,3.6239804140580887,1,0,,3.6729804140580886,"mean_abs_resid=6.539, std_resid=8.300, sharpe_proxy=2.855",,,,,2.8195577317713227,121.8281000259282,-4.811401062399855,0.001
theta_calendar_proxy,VEV_4000,,,4000,,,short after under-decay,51.499999999999545,0.3333333333333333,1295.0,,1,0,,2.5749999999999775,low-confidence theta-only proxy; underlying move is not delta-adjusted,1->2,-29.5,-4.547473508864641e-13,-51.499999999999545,,,,
theta_calendar_proxy,VEV_4500,,,4500,,,short after under-decay,47.0,0.3333333333333333,795.5,,1,0,,2.35,low-confidence theta-only proxy; underlying move is not delta-adjusted,1->2,-30.0,0.0,-47.0,,,,
theta_calendar_proxy,VEV_4000,,,4000,,,short after under-decay,42.499999999999545,0.3333333333333333,1265.5,,1,0,,2.1249999999999774,low-confidence theta-only proxy; underlying move is not delta-adjusted,0->1,-21.5,-4.547473508864641e-13,-42.499999999999545,,,,
theta_calendar_proxy,VEV_4500,,,4500,,,short after under-decay,38.5,0.3333333333333333,765.5,,1,0,,1.925,low-confidence theta-only proxy; underlying move is not delta-adjusted,0->1,-21.5,0.0,-38.5,,,,
theta_calendar_proxy,VEV_5000,,,5000,,,short after under-decay,36.163924731758925,0.3333333333333333,296.5,,1,0,,1.8081962365879463,low-confidence theta-only proxy; underlying move is not delta-adjusted,1->2,-28.0,1.1639247317589252,-36.163924731758925,,,,
theta_calendar_proxy,VEV_5100,,,5100,,,short after under-decay,32.009535498177684,0.3333333333333333,201.5,,1,0,,1.6004767749088842,low-confidence theta-only proxy; underlying move is not delta-adjusted,1->2,-24.0,3.0095354981776836,-32.009535498177684,,,,
theta_calendar_proxy,VEV_5000,,,5000,,,short after under-decay,27.207155820446133,0.3333333333333333,268.5,,1,0,,1.3603577910223068,low-confidence theta-only proxy; underlying move is not delta-adjusted,0->1,-18.5,1.7071558204461326,-27.207155820446133,,,,
theta_calendar_proxy,VEV_5200,,,5200,,,short after under-decay,25.639231647163342,0.3333333333333333,119.0,,1,0,,1.2819615823581672,low-confidence theta-only proxy; underlying move is not delta-adjusted,1->2,-16.5,5.139231647163342,-25.639231647163342,,,,
