product,return_corr_with_HYD,max_abs_rolling_corr_250,pair_trade_candidate
VELVETFRUIT_EXTRACT,0.005904090445881181,0.19110332071102193,False
VEV_4000,0.0016995805217596438,0.23882204466627138,False
VEV_4500,0.0018066090200666407,0.2309309527699411,False
VEV_5000,0.00556361522068991,0.19942870927822526,False
VEV_5100,0.0011295165547537617,0.19233366842088032,False
VEV_5200,0.007145478919401389,0.21164224961109393,False
VEV_5300,0.004984491939311431,0.25320782235104144,False
VEV_5400,0.006246718781928738,0.21596697234145498,False
VEV_5500,0.0027801346802931643,0.2176568120225164,False
VEV_6000,,,False
VEV_6500,,,False
