lag,autocorr,strike
1,0.9306737346454695,5300
2,0.9287402137717933,5300
3,0.9278812116972074,5300
4,0.9282646176815383,5300
5,0.927378067836367,5300
6,0.9272896862941054,5300
7,0.9270007337410379,5300
8,0.9270318586604395,5300
9,0.9264106642622233,5300
10,0.9263385168415406,5300
11,0.9256599438881654,5300
12,0.9260316630421417,5300
13,0.9257803470326541,5300
14,0.9255584664677073,5300
15,0.9255906403588424,5300
16,0.9240860861266729,5300
17,0.9239334940631054,5300
18,0.9246799647851994,5300
19,0.9244648846222369,5300
20,0.9240761632311391,5300
21,0.92326310221012,5300
22,0.9232378942370065,5300
23,0.9238529155070714,5300
24,0.9225798039267049,5300
25,0.9232197467870012,5300
26,0.9230535807298529,5300
27,0.9226234977759192,5300
28,0.9229558293743357,5300
29,0.9225017483091378,5300
30,0.9216974704173756,5300
31,0.9211463214753921,5300
32,0.9218358241086841,5300
33,0.921319323104581,5300
34,0.9211513674073322,5300
35,0.9201923281631293,5300
36,0.9200647235145166,5300
37,0.9201106298032508,5300
38,0.9202731656800394,5300
39,0.9196056234165946,5300
40,0.9190725283553897,5300
41,0.9187908315612349,5300
42,0.9200830953468417,5300
43,0.9196473960813508,5300
44,0.9183786654753617,5300
45,0.9185202199285265,5300
46,0.9181107773601821,5300
47,0.9184544548692288,5300
48,0.9179080429936564,5300
49,0.9170634309656608,5300
50,0.9170532533929552,5300
51,0.916883572498788,5300
52,0.9166040933352755,5300
53,0.9169371294947206,5300
54,0.9163318379614325,5300
55,0.9163849611620936,5300
56,0.9165942500943252,5300
57,0.9162903966113503,5300
58,0.9158639441095777,5300
59,0.9156966199340878,5300
60,0.9154134456108557,5300
61,0.9153633531393244,5300
62,0.9147242947003805,5300
63,0.9143551272370616,5300
64,0.9139413962527871,5300
65,0.9135618598069475,5300
66,0.9143131226399555,5300
67,0.9137960558537758,5300
68,0.9135357974993985,5300
69,0.9136364224340544,5300
70,0.9128996071241283,5300
71,0.9132180608511825,5300
72,0.9125373197482308,5300
73,0.9128280129882589,5300
74,0.9119239747872759,5300
75,0.9119055545112342,5300
76,0.9120682971906543,5300
77,0.9121613083482051,5300
78,0.9116853756929891,5300
79,0.9112544703210006,5300
80,0.9113525867787171,5300
81,0.9110396046289306,5300
82,0.9107199236223863,5300
83,0.9110503907970225,5300
84,0.9105063851614,5300
85,0.9103276289971207,5300
86,0.9099117230255744,5300
87,0.9101629644302439,5300
88,0.909628561701553,5300
89,0.9099522808132827,5300
90,0.9086526641131031,5300
91,0.9099782556817189,5300
92,0.9092488670235643,5300
93,0.9097098479341886,5300
