day,time_bin_100k,strike,rows,mean_S,mean_residual,std_residual,mean_edge_ticks,mean_long_ev_ticks,mean_short_ev_ticks
0,0,5300,1000,5237.94,0.0038020792085928672,0.001486748297775097,-1.2601939513377123,-2.3286939513377125,0.19169395133771225
0,0,5400,1000,5237.94,-0.00074468799695207,0.000886715257149164,0.17844391620976355,-0.5540560837902365,-0.9109439162097636
0,100000,5300,1000,5235.611,0.0014719396626749208,0.0010967583438630316,-0.482495444655563,-1.520995444655563,-0.556004555344437
0,100000,5400,1000,5235.611,-0.0034345349503705426,0.0014752382338922944,0.8059289390704188,0.08992893907041892,-1.521928939070419
0,200000,5300,1000,5237.8765,0.0025384496418514413,0.0011046463671402103,-0.8286577032187362,-1.8801577032187362,-0.22284229678126374
0,200000,5400,1000,5237.8765,-0.0069650856552270985,0.0009718105772506704,1.6204357902049655,0.8999357902049656,-2.3409357902049654
0,300000,5300,1000,5266.756,0.00339414531769154,0.0008599193269141935,-1.146020346746665,-2.323520346746665,-0.03147965325333518
0,300000,5400,1000,5266.756,-0.007800042424350433,0.0009869326890137463,2.0364190188414613,1.2714190188414611,-2.8014190188414614
0,400000,5300,1000,5247.981,0.0036469697470455165,0.0011058972383826996,-1.187492410480536,-2.277492410480536,0.09749241048053593
0,400000,5400,1000,5247.981,-0.010698437610405773,0.001766419846207733,2.4797269022295025,1.7592269022295026,-3.200226902229503
0,500000,5300,1000,5242.955,0.0056932973491093265,0.0010088140318272188,-1.8289000256264991,-2.897400025626499,0.7604000256264991
0,500000,5400,1000,5242.955,-0.012061022135207749,0.0011318322968331947,2.6980108716900952,2.0135108716900953,-3.3825108716900956
0,600000,5300,1000,5235.3815,0.005592367844259683,0.0011780609745638318,-1.7546057517124176,-2.781105751712418,0.7281057517124178
0,600000,5400,1000,5235.3815,-0.014234283963430246,0.0010929461242889008,2.981476509116589,2.299476509116589,-3.663476509116589
0,700000,5300,1000,5258.7075,0.006045458872965392,0.0011733700105494196,-1.9577041131376287,-3.0627041131376287,0.8527041131376286
0,700000,5400,1000,5258.7075,-0.012074808608569767,0.0013935001715499355,2.842763864421292,2.134763864421292,-3.550763864421292
0,800000,5300,1000,5254.7355,0.007674059074366935,0.0010894605503750966,-2.45299538597438,-3.56199538597438,1.3439953859743803
0,800000,5400,1000,5254.7355,-0.010438177632206327,0.0018191077171883167,2.389327347517504,1.6663273475175036,-3.1123273475175037
0,900000,5300,1000,5247.1585,0.008035776193997422,0.0011991092368697858,-2.5078297983797473,-3.5758297983797473,1.4398297983797474
0,900000,5400,1000,5247.1585,-0.007584621541525704,0.0014759678809497282,1.6662208901703195,0.9697208901703195,-2.362720890170319
1,0,5300,1000,5240.1335,0.004752257683108319,0.0011829350121439785,-1.4550955500762661,-2.490595550076266,0.4195955500762662
1,0,5400,1000,5240.1335,-0.012287050519962293,0.0011079168616244376,2.5644454137468653,1.8754454137468652,-3.2534454137468654
1,100000,5300,1000,5253.636,0.003851796767479345,0.001068014539305831,-1.1972293089954142,-2.2852293089954143,0.10922930899541418
1,100000,5400,1000,5253.636,-0.00970750829082916,0.0010435370597879883,2.1671823899255087,1.4381823899255086,-2.896182389925509
1,200000,5300,1000,5255.673,0.007277754430756272,0.0017339330013355662,-2.251319921480036,-3.343819921480036,1.1588199214800359
1,200000,5400,1000,5255.673,-0.00891506271664776,0.001039181639305783,1.9809621483901483,1.2604621483901484,-2.7014621483901484
1,300000,5300,1000,5250.577,0.00953965151942131,0.0012825114654243432,-2.8966882139501533,-3.979688213950153,1.813688213950153
1,300000,5400,1000,5250.577,-0.010349439889225414,0.001106061893409406,2.1935129886786955,1.4975129886786955,-2.889512988678695
1,400000,5300,1000,5241.764,0.009807307708989308,0.0012371812587368375,-2.905177751894361,-3.929177751894361,1.881177751894361
1,400000,5400,1000,5241.764,-0.010200638685665009,0.0011543509736387759,2.028774263242872,1.3467742632428719,-2.7107742632428717
1,500000,5300,1000,5243.3375,0.011499858025139942,0.0011683420636660659,-3.377987830421617,-4.406987830421617,2.348987830421617
1,500000,5400,1000,5243.3375,-0.011245847249475659,0.002079598887820033,2.1839767177207605,1.5069767177207607,-2.8609767177207606
1,600000,5300,1000,5222.952,0.0119932751469085,0.0012537412765424227,-3.3323250727849136,-4.279825072784914,2.3848250727849134
1,600000,5400,1000,5222.952,-0.013498581716685694,0.0016683399417401188,2.2605415349450655,1.6355415349450655,-2.8855415349450655
1,700000,5300,1000,5264.601,0.013923555622810474,0.001135307908290534,-4.160198721082331,-5.268198721082331,3.0521987210823314
1,700000,5400,1000,5264.601,-0.011082035211623454,0.0013769816979657028,2.3610277003751157,1.6400277003751158,-3.0820277003751158
1,800000,5300,1000,5249.0965,0.01258179646619386,0.0011897472375993993,-3.628860582862782,-4.6673605828627815,2.590360582862782
1,800000,5400,1000,5249.0965,-0.012547244728825062,0.0019227757848846107,2.382785220454179,1.688285220454179,-3.077285220454179
1,900000,5300,1000,5262.1485,0.015413611498906448,0.0013359714560444678,-4.4977101394262915,-5.595710139426291,3.3997101394262916
1,900000,5400,1000,5262.1485,-0.010485470235834293,0.0013436795278047482,2.1400003980660913,1.4420003980660911,-2.8380003980660913
2,0,5300,1000,5262.3785,0.009725496534605254,0.0014842518985301396,-2.8119931727082883,-3.8974931727082884,1.7264931727082886
2,0,5400,1000,5262.3785,-0.015108496346946495,0.0015158668143409877,3.0382893531498807,2.328789353149881,-3.747789353149881
2,100000,5300,1000,5264.293,0.009337022870453161,0.001187482778821187,-2.675852145522794,-3.768852145522794,1.5828521455227944
2,100000,5400,1000,5264.293,-0.01625178115690554,0.0013647234523424142,3.2380858131031824,2.540585813103182,-3.9355858131031822
2,200000,5300,1000,5270.461,0.008844141448758632,0.0010521249328835519,-2.526577600027497,-3.6340776000274975,1.4190776000274974
2,200000,5400,1000,5270.461,-0.01190509517204954,0.0014878713720520012,2.4429610699943702,1.7154610699943698,-3.1704610699943703
2,300000,5300,1000,5260.729,0.008519130929053717,0.0012205385263411596,-2.3693075871231666,-3.4253075871231666,1.3133075871231668
2,300000,5400,1000,5260.729,-0.012825287061043415,0.001100496500152875,2.440300524895476,1.757800524895476,-3.1228005248954758
2,400000,5300,1000,5237.4765,0.009735430364458918,0.0013582970304781784,-2.5593399777402306,-3.5048399777402306,1.6138399777402306
2,400000,5400,1000,5237.4765,-0.011692182523902988,0.0018652911906373762,1.8865034476808076,1.2580034476808075,-2.5150034476808076
2,500000,5300,1000,5235.69,0.007411982679542377,0.0013139287013397595,-1.9145056468768822,-2.836505646876882,0.9925056468768821
2,500000,5400,1000,5235.69,-0.011335847829259662,0.0019357774031836118,1.7590588332856067,1.1455588332856068,-2.372558833285607
2,600000,5300,1000,5253.9495,0.008589975598126754,0.0014460587904439198,-2.281169620453748,-3.284169620453748,1.2781696204537476
2,600000,5400,1000,5253.9495,-0.010779585420505163,0.001292240310348941,1.8580007727982706,1.2345007727982706,-2.4815007727982707
2,700000,5300,1000,5235.476,0.00923338853131617,0.0016360641558728819,-2.3183326546981693,-3.2453326546981693,1.391332654698169
2,700000,5400,1000,5235.476,-0.013912079420688167,0.002489433007521824,2.005892665536089,1.378392665536089,-2.633392665536089
2,800000,5300,1000,5256.247,0.013403802685190539,0.0015279387398910895,-3.4932610327862577,-4.504261032786258,2.4822610327862575
2,800000,5400,1000,5256.247,-0.010828387959033119,0.001885359462407164,1.8048016861104095,1.1608016861104096,-2.4488016861104094
2,900000,5300,1000,5277.221,0.011465151190226624,0.0015287274688868726,-3.0422901582183495,-4.14679015821835,1.9377901582183494
2,900000,5400,1000,5277.221,-0.005865219985707813,0.0015826221321571055,1.11651436271287,0.42951436271287,-1.80351436271287
