strike,mean_long_ev_2d,mean_short_ev_2d,mean_residual_2d,std_residual_2d,coef_x2,coef_x,coef_const,coef_T_x2,coef_T_x,coef_T
4000,-10.380503102383965,-9.71896106372454,-0.01976291269060723,0.07217273566872644,,,,,,
4500,-8.516711458795259,-7.258421715861889,0.031604242640367056,0.03257807491335902,,,,,,
5000,-1.9071892357782279,-4.1381803932583345,-0.012610260012632494,0.007217945298416057,,,,,,
5100,-1.6879230711742876,-2.6079102621590455,-0.0030008593760168334,0.005429719169953092,,,,,,
5200,-3.0158594463146016,0.1277261129812682,0.005358966160110702,0.0027187016050525662,,,,,,
5300,-3.4276612758879774,1.3208612758879776,0.008137468611956945,0.0031626303358997863,,,,,,
5400,1.4196858416806029,-2.801119175013936,-0.010600154334198059,0.004089600276729776,,,,,,
5500,-0.29609987327671305,-0.8536667933899535,-0.0028075669990825784,0.003791581549018212,,,,,,
6000,-0.675979825313516,-0.32402017468648403,0.014346958726771403,0.0075877064034173885,,,,,,
6500,-0.4459341090121669,-0.5540658909878331,-0.006162380168975468,0.006279259644553273,,,,,,
COEFFICIENTS,,,,0.015502174281741712,12.882736821214111,0.10124765386101549,0.23456869058463617,-249.43110967507667,-5.38345497194297,-1.0171621707006968
